Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
240	0	-1964.33	-1798.37	-165.964	1.044116	887.2044	0.1372007	0.13551
241	1	-2685.64	-2515.94	-169.7	2.160374	888.0094	443	0
242	0	-1965.82	-1799.85	-165.964	1.044116	887.196	0.1392317	0.13551
243	1	-2681.86	-2512.16	-169.7	2.160374	888.0142	443	0
244	0	-1964.64	-1798.68	-165.964	1.044116	887.2155	0.1411071	0.13551
245	1	-2689.18	-2519.48	-169.7	2.160374	887.9045	443	0
246	0	-1965.87	-1799.91	-165.964	1.044116	887.1538	0.1385428	0.13551
247	1	-2685.56	-2515.86	-169.7	2.160374	887.8548	443	0
248	0	-1966.57	-1800.6	-165.964	1.044116	887.1587	0.1436385	0.13551
249	1	-2687.03	-2517.33	-169.7	2.160374	887.8901	443	0
250	0	-1965.71	-1799.74	-165.964	1.044116	887.2985	0.1456391	0.13551
251	1	-2686.24	-2516.54	-169.7	2.160374	887.8875	443	0
252	0	-1966.8	-1800.84	-165.964	1.044116	887.2628	0.1388662	0.13551
253	1	-2686.43	-2516.73	-169.7	2.160374	888.0064	443	0
254	0	-1969.84	-1803.87	-165.964	1.044116	887.2204	0.1436165	0.13551
255	1	-2685.32	-2515.62	-169.7	2.160374	888.0582	443	0
256	0	-1967.48	-1801.52	-165.964	1.044116	887.2186	0.1363919	0.13551
257	1	-2681.95	-2512.25	-169.7	2.160374	887.9482	443	0
258	0	-1969.34	-1803.37	-165.964	1.044116	887.3332	0.1632032	0.13551
259	1	-2688.02	-2518.32	-169.7	2.160374	887.9018	443	0
260	0	-1965.78	-1799.82	-165.964	1.044116	887.2519	0.146481	0.13551
261	1	-2687.67	-2517.97	-169.7	2.160374	887.9386	443	0
262	0	-1968.93	-1802.96	-165.964	1.044116	887.2038	0.1322373	0.13551
263	1	-2681.96	-2512.26	-169.7	2.160374	888.0598	443	0
264	0	-1966.89	-1800.93	-165.964	1.044116	887.1919	0.1339114	0.13551
265	1	-2681.61	-2511.91	-169.7	2.160374	887.9969	443	0
