Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
560	-2014.82	-1983.32	-31.5052	0.2346484	0.0001481265	0.1529594	0.3481334	0.08168893	0.0895585	0.450753	0.125899	0.0565301	0.256689	0.0205708	53.1709	0.185469	0.338346	0.305787	0.170398	53.1709	0.6518666
570	-2012.38	-1982.32	-30.0653	0.2074736	0.000126919	0.08934975	0.569344	0.1181238	0.0137365	0.213571	0.180724	0.0217781	0.568026	0.0021649	49.86579	0.179956	0.332444	0.334423	0.153177	49.86579	0.430656
580	-2012.5	-1982.82	-29.6825	0.1809572	0.0002083054	0.07977554	0.559147	0.1011817	0.0132165	0.181451	0.173883	0.0327355	0.588968	0.00974614	46.8702	0.183736	0.303271	0.332132	0.180861	46.8702	0.440853
590	-2017.07	-1986.05	-31.0197	0.2131594	0.0001819757	0.07200972	0.662179	0.1411497	0.0867973	0.255625	0.18871	0.0390766	0.423395	0.00639608	45.84652	0.207414	0.328685	0.311163	0.152738	45.84652	0.337821
600	-2015.07	-1986.12	-28.9549	0.2321717	0.0001485239	0.05719651	0.7536457	0.1749752	0.0914087	0.295167	0.149976	0.0381565	0.408446	0.0168467	51.97868	0.167479	0.342364	0.304852	0.185304	51.97868	0.2463543
610	-2013.46	-1986.65	-26.8114	1.411018	0.0002311586	1.106972	0.21548	0.3040463	0.0674628	0.41779	0.0727239	0.0175788	0.419483	0.00496174	44.83701	0.173671	0.356559	0.309238	0.160533	44.83701	0.78452
620	-2007.21	-1977.52	-29.6851	0.6775315	0.0002052844	0.3984505	0.4119086	0.279081	0.0186149	0.260975	0.137181	0.0486491	0.527049	0.00753166	51.58734	0.198313	0.322401	0.303084	0.176202	51.58734	0.5880914
630	-2011.34	-1979.69	-31.6516	0.4324797	0.0001454226	0.2516261	0.4181783	0.1808536	0.0389534	0.285749	0.116956	0.068558	0.477363	0.0124214	54.3288	0.167189	0.336482	0.316358	0.179971	54.3288	0.5818217
640	-2017.84	-1987.47	-30.3757	0.1698125	0.0001741325	0.08120234	0.5218118	0.08861018	0.0350333	0.237703	0.133448	0.104168	0.44326	0.0463882	46.99211	0.21048	0.333905	0.310584	0.145031	46.99211	0.4781882
650	-2008.77	-1978.26	-30.5131	0.2851359	0.0001505813	0.03840271	0.8653179	0.2467331	0.0168438	0.290676	0.192584	0.0134215	0.481134	0.00534109	53.80099	0.194487	0.323934	0.313711	0.167868	53.80099	0.1346821
660	-2012.6	-1983.22	-29.3826	0.9207109	0.0001851771	0.6086481	0.3389368	0.3120629	0.0475523	0.328777	0.154407	0.0288895	0.430238	0.0101355	52.49963	0.193911	0.305679	0.340191	0.160219	52.49963	0.6610632
670	-2014.99	-1983.32	-31.6769	0.1276551	0.000162054	0.1036874	0.1877533	0.02396766	0.0178896	0.182331	0.232542	0.034007	0.506451	0.0267802	52.09755	0.181802	0.310112	0.339731	0.168355	52.09755	0.8122467
680	-2005.68	-1977.56	-28.1261	0.3093273	0.0001606357	0.15915	0.4854965	0.1501773	0.00454366	0.227367	0.158513	0.0233962	0.572382	0.0137985	49.9853	0.187598	0.31651	0.32217	0.173722	49.9853	0.5145035
690	-2016.1	-1982.55	-33.5492	0.1004785	0.0002044647	0.01119635	0.8885697	0.08928219	0.00470253	0.404889	0.0194508	0.0521885	0.502708	0.0160618	52.98866	0.179394	0.314055	0.335704	0.170848	52.98866	0.1114303
700	-2010.89	-1979.08	-31.8114	0.03743676	0.0001599187	0.01315042	0.6487297	0.02428634	0.00525644	0.32191	0.107094	0.0513361	0.494497	0.0199068	50.08795	0.201687	0.32053	0.294311	0.183472	50.08795	0.3512703
710	-2010.41	-1980.63	-29.7748	0.4109631	0.0001050275	0.27092	0.340768	0.1400431	0.0139893	0.315248	0.173705	0.022583	0.471731	0.0027435	48.77667	0.197253	0.321458	0.313656	0.167634	48.77667	0.659232
720	-2010.96	-1983.03	-27.9374	0.5055352	0.0001924275	0.227028	0.5509156	0.2785073	0.0282401	0.403386	0.223525	0.0187256	0.308235	0.0178886	47.55681	0.16898	0.321179	0.335036	0.174804	47.55681	0.4490844
730	-2007.29	-1977.46	-29.8248	1.293341	0.0001782762	1.097654	0.1513036	0.1956872	0.0390558	0.313803	0.186786	0.0470744	0.411468	0.00181306	46.52441	0.188002	0.324627	0.323018	0.164353	46.52441	0.8486964
740	-2015.68	-1983.18	-32.5093	0.2207704	0.0001670966	0.09195386	0.5834865	0.1288166	0.0456145	0.26608	0.170408	0.0675423	0.447844	0.00251106	55.12742	0.190127	0.298451	0.314957	0.196465	55.12742	0.4165135
